리뷰,별점,작성일,상품명
정말 좋아요!,5,2026-09-01,아메리카노
배송이 조금 늦었어요,3,2026-09-02,텀블러
품질이 별로예요,1,2026-09-03,머그컵
커피 향이 진하고 맛있어요,5,2026-09-04,아메리카노
가격 대비 만족합니다,4,2026-09-05,텀블러
디자인은 예쁜데 보온력이 아쉬워요,3,2026-09-06,텀블러
머그컵 색상이 사진과 같아서 만족해요,5,2026-09-07,머그컵
배송도 빠르고 포장도 꼼꼼했어요,5,2026-09-08,아메리카노
커피가 조금 쓴 편이에요,3,2026-09-09,아메리카노
텀블러 뚜껑이 잘 닫히지 않아요,2,2026-09-10,텀블러
손잡이가 편하고 사용하기 좋아요,4,2026-09-11,머그컵
생각보다 크기가 작아서 아쉬워요,2,2026-09-12,머그컵
재구매하고 싶을 정도로 만족합니다,5,2026-09-13,아메리카노
무난하게 사용할 수 있어요,3,2026-09-14,텀블러
포장 상태가 좋지 않았어요,2,2026-09-15,머그컵
향이 부드럽고 부담 없이 마시기 좋아요,4,2026-09-16,아메리카노
보온력이 좋아서 오래 따뜻해요,5,2026-09-17,텀블러
컵 표면 마감이 조금 거칠어요,2,2026-09-18,머그컵
가격은 조금 비싸지만 맛은 좋아요,4,2026-09-19,아메리카노
텀블러 디자인이 깔끔해서 마음에 들어요,5,2026-09-20,텀블러
사용 중에 뚜껑에서 물이 조금 새요,1,2026-09-21,텀블러
머그컵 무게가 적당해서 편해요,4,2026-09-22,머그컵
커피 맛이 기대보다 평범했어요,3,2026-09-23,아메리카노
배송이 매우 빨라서 좋았습니다,5,2026-09-24,텀블러
컵에 작은 흠집이 있어서 아쉬웠어요,2,2026-09-25,머그컵
향과 맛의 균형이 좋아요,5,2026-09-26,아메리카노
세척하기 편해서 자주 사용하고 있어요,4,2026-09-27,텀블러
색상과 디자인이 마음에 들어요,5,2026-09-28,머그컵
커피가 너무 진해서 제 취향은 아니에요,2,2026-09-29,아메리카노
보온력은 괜찮지만 무게가 조금 무거워요,3,2026-09-30,텀블러
머그컵 포장이 안전하게 잘 되어 왔어요,4,2026-10-01,머그컵
아메리카노 맛이 깔끔하고 향도 좋아요,5,2026-10-02,아메리카노
텀블러 바닥이 미끄러워서 조금 불편해요,2,2026-10-03,텀블러
머그컵 크기가 적당하고 디자인도 예뻐요,5,2026-10-04,머그컵
커피 배송이 늦어서 아쉬웠습니다,2,2026-10-05,아메리카노
전체적으로 가격 대비 괜찮은 제품입니다,4,2026-10-06,텀블러
